Label (Grouping),SEX AND AGE!!Total population,SEX AND AGE!!Male,SEX AND AGE!!Female,SEX AND AGE!!Under 5 years,SEX AND AGE!!5 to 9 years,SEX AND AGE!!10 to 14 years,SEX AND AGE!!15 to 19 years,SEX AND AGE!!20 to 24 years,SEX AND AGE!!25 to 34 years,SEX AND AGE!!35 to 44 years,SEX AND AGE!!45 to 54 years,SEX AND AGE!!55 to 59 years,SEX AND AGE!!60 to 64 years,SEX AND AGE!!65 to 74 years,SEX AND AGE!!75 to 84 years,SEX AND AGE!!85 years and over,SEX AND AGE!!Median age (years),SEX AND AGE!!18 years and over,SEX AND AGE!!65 years and over,RACE!!White,RACE!!Black or African American,RACE!!American Indian and Alaska Native,RACE!!Asian,RACE!!Native Hawaiian and Other Pacific Islander,RACE!!Some other race
    Estimate,"37,349,363","18,570,505","18,778,858","2,528,898","2,536,654","2,578,286","2,825,690","2,782,635","5,323,453","5,191,065","5,245,537","2,187,492","1,880,158","2,291,045","1,364,357","614,093",35.2,"28,042,134","4,269,495","24,611,291","2,649,422","670,960","5,540,174","289,873","5,301,856"
    Percent,"37,349,363",49.70%,50.30%,6.80%,6.80%,6.90%,7.60%,7.50%,14.30%,13.90%,14.00%,5.90%,5.00%,6.10%,3.70%,1.60%,(X),"28,042,134","4,269,495",65.90%,7.10%,1.80%,14.80%,0.80%,14.20%
Colorado,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"5,049,071","2,531,362","2,517,709","342,277","354,521","330,545","343,494","350,189","728,299","703,506","741,051","331,534","272,017","310,844","168,956","71,838",36,"3,820,393","551,638","4,359,904","247,808","108,671","190,340","16,697","317,772"
    Percent,"5,049,071",50.10%,49.90%,6.80%,7.00%,6.50%,6.80%,6.90%,14.40%,13.90%,14.70%,6.60%,5.40%,6.20%,3.30%,1.40%,(X),"3,820,393","551,638",86.40%,4.90%,2.20%,3.80%,0.30%,6.30%
Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"3,577,073","1,738,918","1,838,155","201,685","222,475","241,092","249,494","227,944","421,750","484,117","575,026","236,797","208,540","258,657","161,882","87,614",40,"2,761,785","508,153","2,872,261","402,971","29,836","155,442","2,609","212,833"
    Percent,"3,577,073",48.60%,51.40%,5.60%,6.20%,6.70%,7.00%,6.40%,11.80%,13.50%,16.10%,6.60%,5.80%,7.20%,4.50%,2.40%,(X),"2,761,785","508,153",80.30%,11.30%,0.80%,4.30%,0.10%,5.90%
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"899,769","436,608","463,161","56,095","56,077","56,954","67,720","62,144","110,516","116,236","132,954","60,591","51,012","72,670","40,427","16,373",38.8,"693,700","129,470","654,859","203,620","8,641","33,185","1,794","21,762"
    Percent,"899,769",48.50%,51.50%,6.20%,6.20%,6.30%,7.50%,6.90%,12.30%,12.90%,14.80%,6.70%,5.70%,8.10%,4.50%,1.80%,(X),"693,700","129,470",72.80%,22.60%,1.00%,3.70%,0.20%,2.40%
District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"604,453","285,729","318,724","32,861","27,268","23,969","42,688","60,843","126,322","81,404","75,377","32,932","31,362","37,510","21,240","10,677",33.9,"503,186","69,427","251,526","315,243","5,425","25,999",807,"18,815"
    Percent,"604,453",47.30%,52.70%,5.40%,4.50%,4.00%,7.10%,10.10%,20.90%,13.50%,12.50%,5.40%,5.20%,6.20%,3.50%,1.80%,(X),"503,186","69,427",41.60%,52.20%,0.90%,4.30%,0.10%,3.10%
Florida,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"18,843,326","9,212,548","9,630,778","1,067,986","1,081,390","1,138,125","1,230,917","1,247,729","2,270,950","2,437,991","2,739,968","1,216,969","1,138,102","1,738,684","1,086,965","447,550",40.7,"14,843,807","3,273,199","14,743,216","3,195,360","157,703","564,551","34,031","587,749"
    Percent,"18,843,326",48.90%,51.10%,5.70%,5.70%,6.00%,6.50%,6.60%,12.10%,12.90%,14.50%,6.50%,6.00%,9.20%,5.80%,2.40%,(X),"14,843,807","3,273,199",78.20%,17.00%,0.80%,3.00%,0.20%,3.10%
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"9,712,587","4,742,754","4,969,833","682,314","707,281","685,192","719,466","682,711","1,322,903","1,406,883","1,387,209","572,683","512,047","610,491","306,592","116,815",35.4,"7,218,066","1,033,898","6,036,648","3,071,510","71,422","359,802","8,984","356,253"
    Percent,"9,712,587",48.80%,51.20%,7.00%,7.30%,7.10%,7.40%,7.00%,13.60%,14.50%,14.30%,5.90%,5.30%,6.30%,3.20%,1.20%,(X),"7,218,066","1,033,898",62.20%,31.60%,0.70%,3.70%,0.10%,3.70%
Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"1,363,621","684,087","679,534","86,693","82,338","83,521","86,055","98,086","180,950","176,314","194,443","91,834","85,261","102,915","64,496","30,715",38.7,"1,059,960","198,126","573,468","40,443","39,695","784,873","347,511","36,113"
    Percent,"1,363,621",50.20%,49.80%,6.40%,6.00%,6.10%,6.30%,7.20%,13.30%,12.90%,14.30%,6.70%,6.30%,7.50%,4.70%,2.30%,(X),"1,059,960","198,126",42.10%,3.00%,2.90%,57.60%,25.50%,2.60%
Idaho,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"1,571,450","787,506","783,944","120,708","120,128","119,406","115,754","107,625","209,440","193,371","207,826","96,515","83,836","110,604","60,035","26,202",34.7,"1,142,490","196,841","1,483,490","14,178","38,506","28,334","5,760","41,160"
    Percent,"1,571,450",50.10%,49.90%,7.70%,7.60%,7.60%,7.40%,6.80%,13.30%,12.30%,13.20%,6.10%,5.30%,7.00%,3.80%,1.70%,(X),"1,142,490","196,841",94.40%,0.90%,2.50%,1.80%,0.40%,2.60%
Illinois,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"12,843,166","6,294,434","6,548,732","832,931","859,276","883,192","927,071","874,934","1,774,676","1,727,424","1,865,690","820,044","663,106","854,927","517,721","242,174",36.6,"9,717,236","1,614,822","9,518,017","1,968,117","82,449","662,800","13,494","855,701"
    Percent,"12,843,166",49.00%,51.00%,6.50%,6.70%,6.90%,7.20%,6.80%,13.80%,13.50%,14.50%,6.40%,5.20%,6.70%,4.00%,1.90%,(X),"9,717,236","1,614,822",74.10%,15.30%,0.60%,5.20%,0.10%,6.70%
Indiana,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"6,490,621","3,197,124","3,293,497","433,315","453,123","446,162","472,138","456,085","828,516","839,031","946,240","422,124","350,896","454,843","277,692","110,456",36.9,"4,884,506","842,991","5,638,618","655,352","54,413","124,878","2,800","149,955"
    Percent,"6,490,621",49.30%,50.70%,6.70%,7.00%,6.90%,7.30%,7.00%,12.80%,12.90%,14.60%,6.50%,5.40%,7.00%,4.30%,1.70%,(X),"4,884,506","842,991",86.90%,10.10%,0.80%,1.90%,0.00%,2.30%
Iowa,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"3,049,883","1,505,879","1,544,004","199,665","199,422","200,675","221,053","210,283","383,022","366,296","439,176","200,366","177,102","225,053","152,240","75,530",38.2,"2,325,209","452,823","2,842,892","119,355","27,622","62,609","3,193","54,016"
    Percent,"3,049,883",49.40%,50.60%,6.50%,6.50%,6.60%,7.20%,6.90%,12.60%,12.00%,14.40%,6.60%,5.80%,7.40%,5.00%,2.50%,(X),"2,325,209","452,823",93.20%,3.90%,0.90%,2.10%,0.10%,1.80%
Kansas,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"2,859,169","1,417,134","1,442,035","205,100","208,290","194,224","207,891","202,983","372,496","348,844","407,922","179,757","152,627","193,222","125,051","60,762",36.2,"2,132,343","379,035","2,515,800","204,390","65,298","84,758","2,772","83,039"
    Percent,"2,859,169",49.60%,50.40%,7.20%,7.30%,6.80%,7.30%,7.10%,13.00%,12.20%,14.30%,6.30%,5.30%,6.80%,4.40%,2.10%,(X),"2,132,343","379,035",88.00%,7.10%,2.30%,3.00%,0.10%,2.90%
Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"4,346,266","2,140,493","2,205,773","279,755","280,498","289,829","298,606","294,270","563,583","578,077","639,668","293,604","248,855","326,498","183,094","69,929",38,"3,324,930","579,521","3,903,375","375,434","32,528","59,038","4,203","48,757"
    Percent,"4,346,266",49.20%,50.80%,6.40%,6.50%,6.70%,6.90%,6.80%,13.00%,13.30%,14.70%,6.80%,5.70%,7.50%,4.20%,1.60%,(X),"3,324,930","579,521",89.80%,8.60%,0.70%,1.40%,0.10%,1.10%
Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"4,544,228","2,227,014","2,317,214","314,008","311,812","305,362","324,812","342,327","622,584","573,691","649,089","297,394","243,560","313,846","178,818","66,925",35.9,"3,426,176","559,589","2,916,456","1,489,050","54,590","82,904","8,085","68,906"
    Percent,"4,544,228",49.00%,51.00%,6.90%,6.90%,6.70%,7.10%,7.50%,13.70%,12.60%,14.30%,6.50%,5.40%,6.90%,3.90%,1.50%,(X),"3,426,176","559,589",64.20%,32.80%,1.20%,1.80%,0.20%,1.50%
Maine,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"1,327,567","648,889","678,678","68,570","74,490","79,752","86,846","80,895","144,557","171,819","216,997","98,511","94,288","112,784","70,261","27,797",42.7,"1,053,916","210,842","1,286,799","20,964","20,404","18,373","1,985","3,606"
    Percent,"1,327,567",48.90%,51.10%,5.20%,5.60%,6.00%,6.50%,6.10%,10.90%,12.90%,16.30%,7.40%,7.10%,8.50%,5.30%,2.10%,(X),"1,053,916","210,842",96.90%,1.60%,1.50%,1.40%,0.10%,0.30%
Maryland,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"5,785,982","2,799,597","2,986,385","364,928","370,753","376,118","408,447","392,262","767,284","794,620","899,913","376,743","324,662","389,798","224,049","96,405",38,"4,434,210","710,252","3,536,519","1,787,319","56,860","372,885","8,075","200,293"
    Percent,"5,785,982",48.40%,51.60%,6.30%,6.40%,6.50%,7.10%,6.80%,13.30%,13.70%,15.60%,6.50%,5.60%,6.70%,3.90%,1.70%,(X),"4,434,210","710,252",61.10%,30.90%,1.00%,6.40%,0.10%,3.50%
Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"6,557,254","3,170,167","3,387,087","366,335","392,674","399,256","462,057","478,034","844,548","888,333","1,011,163","421,187","387,551","458,773","303,281","144,062",39.1,"5,140,133","906,116","5,474,313","543,824","43,634","395,454","7,959","281,449"
    Percent,"6,557,254",48.30%,51.70%,5.60%,6.00%,6.10%,7.00%,7.30%,12.90%,13.50%,15.40%,6.40%,5.90%,7.00%,4.60%,2.20%,(X),"5,140,133","906,116",83.50%,8.30%,0.70%,6.00%,0.10%,4.30%
Michigan,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"9,877,574","4,848,760","5,028,814","592,380","629,492","681,211","737,958","666,732","1,161,947","1,277,405","1,506,527","684,455","573,962","727,581","445,500","192,424",39,"7,542,667","1,365,505","8,044,962","1,505,954","141,557","287,843","8,455","149,427"
    Percent,"9,877,574",49.10%,50.90%,6.00%,6.40%,6.90%,7.50%,6.70%,11.80%,12.90%,15.30%,6.90%,5.80%,7.40%,4.50%,1.90%,(X),"7,542,667","1,365,505",81.40%,15.20%,1.40%,2.90%,0.10%,1.50%
Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"5,310,584","2,635,397","2,675,187","356,118","347,390","361,094","366,046","351,840","718,057","679,897","806,456","351,313","285,679","357,992","222,680","106,022",37.5,"4,026,931","686,694","4,686,982","331,444","100,678","245,411","7,220","77,105"
    Percent,"5,310,584",49.60%,50.40%,6.70%,6.50%,6.80%,6.90%,6.60%,13.50%,12.80%,15.20%,6.60%,5.40%,6.70%,4.20%,2.00%,(X),"4,026,931","686,694",88.30%,6.20%,1.90%,4.60%,0.10%,1.50%
Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"2,970,036","1,441,525","1,528,511","209,079","206,251","209,018","224,555","216,727","375,964","384,801","411,795","186,393","162,697","217,074","122,193","43,489",36.1,"2,216,868","382,756","1,796,181","1,124,460","26,205","30,479",499,"25,899"
    Percent,"2,970,036",48.50%,51.50%,7.00%,6.90%,7.00%,7.60%,7.30%,12.70%,13.00%,13.90%,6.30%,5.50%,7.30%,4.10%,1.50%,(X),"2,216,868","382,756",60.50%,37.90%,0.90%,1.00%,0.00%,0.90%
Missouri,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"5,996,231","2,932,383","3,063,848","387,426","386,091","397,628","422,543","417,694","775,040","748,075","893,280","387,289","338,280","452,665","270,467","119,753",38,"4,578,660","842,885","5,103,564","755,625","79,319","120,161","8,498","68,489"
    Percent,"5,996,231",48.90%,51.10%,6.50%,6.40%,6.60%,7.00%,7.00%,12.90%,12.50%,14.90%,6.50%,5.60%,7.50%,4.50%,2.00%,(X),"4,578,660","842,885",85.10%,12.60%,1.30%,2.00%,0.10%,1.10%
Montana,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"990,898","499,235","491,663","61,872","57,955","63,126","69,524","65,469","121,182","113,805","149,298","76,969","64,204","81,124","46,455","19,915",40.1,"768,298","147,494","913,685","7,875","78,095","9,940","2,096","5,290"
    Percent,"990,898",50.40%,49.60%,6.20%,5.80%,6.40%,7.00%,6.60%,12.20%,11.50%,15.10%,7.80%,6.50%,8.20%,4.70%,2.00%,(X),"768,298","147,494",92.20%,0.80%,7.90%,1.00%,0.20%,0.50%
Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"1,830,429","906,540","923,889","131,637","127,397","126,868","128,961","131,187","241,827","222,830","259,002","114,789","98,038","122,195","85,476","40,222",36.3,"1,370,063","247,893","1,659,972","99,261","34,946","38,015","3,516","40,129"
    Percent,"1,830,429",49.50%,50.50%,7.20%,7.00%,6.90%,7.00%,7.20%,13.20%,12.20%,14.10%,6.30%,5.40%,6.70%,4.70%,2.20%,(X),"1,370,063","247,893",90.70%,5.40%,1.90%,2.10%,0.20%,2.20%
Nevada,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"2,704,642","1,365,498","1,339,144","186,705","183,486","183,814","183,746","177,361","386,326","384,597","374,073","156,804","160,597","199,995","97,606","29,532",36.3,"2,039,869","327,133","2,055,140","247,972","50,383","243,233","35,600","191,426"
    Percent,"2,704,642",50.50%,49.50%,6.90%,6.80%,6.80%,6.80%,6.60%,14.30%,14.20%,13.80%,5.80%,5.90%,7.40%,3.60%,1.10%,(X),"2,039,869","327,133",76.00%,9.20%,1.90%,9.00%,1.30%,7.10%
New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"1,316,759","647,349","669,410","68,873","79,105","83,644","92,952","84,430","143,669","179,134","225,342","97,330","82,631","98,151","57,865","23,633",41.3,"1,030,995","179,649","1,257,465","21,817","11,099","34,435","1,209","12,755"
    Percent,"1,316,759",49.20%,50.80%,5.20%,6.00%,6.40%,7.10%,6.40%,10.90%,13.60%,17.10%,7.40%,6.30%,7.50%,4.40%,1.80%,(X),"1,030,995","179,649",95.50%,1.70%,0.80%,2.60%,0.10%,1.00%
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"8,801,624","4,284,049","4,517,575","538,571","561,705","591,625","597,009","541,810","1,109,449","1,236,842","1,379,799","575,846","477,938","617,461","394,159","179,410",39,"6,738,812","1,191,030","6,278,395","1,293,921","64,395","794,442","11,292","602,956"
    Percent,"8,801,624",48.70%,51.30%,6.10%,6.40%,6.70%,6.80%,6.20%,12.60%,14.10%,15.70%,6.50%,5.40%,7.00%,4.50%,2.00%,(X),"6,738,812","1,191,030",71.30%,14.70%,0.70%,9.00%,0.10%,6.90%
New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"2,065,932","1,020,996","1,044,936","144,016","142,818","143,840","150,681","143,248","263,857","252,488","291,053","132,249","126,295","156,547","86,974","31,866",36.7,"1,547,286","275,387","1,567,232","54,593","215,349","36,328","2,855","252,410"
    Percent,"2,065,932",49.40%,50.60%,7.00%,6.90%,7.00%,7.30%,6.90%,12.80%,12.20%,14.10%,6.40%,6.10%,7.60%,4.20%,1.50%,(X),"1,547,286","275,387",75.90%,2.60%,10.40%,1.80%,0.10%,12.20%
New York,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"19,392,283","9,387,534","10,004,749","1,150,819","1,158,483","1,212,706","1,366,191","1,414,236","2,659,287","2,608,602","2,875,613","1,246,434","1,075,864","1,365,544","867,857","390,647",38,"15,079,820","2,624,048","13,159,790","3,272,124","178,497","1,579,797","23,391","1,734,163"
    Percent,"19,392,283",48.40%,51.60%,5.90%,6.00%,6.30%,7.00%,7.30%,13.70%,13.50%,14.80%,6.40%,5.50%,7.00%,4.50%,2.00%,(X),"15,079,820","2,624,048",67.90%,16.90%,0.90%,8.10%,0.10%,8.90%
North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"9,561,558","4,657,156","4,904,402","632,020","631,596","643,244","667,184","661,893","1,243,403","1,339,385","1,359,684","600,702","542,728","704,289","386,821","148,609",37.3,"7,277,315","1,239,719","6,844,118","2,163,190","196,819","252,755","10,942","334,771"
    Percent,"9,561,558",48.70%,51.30%,6.60%,6.60%,6.70%,7.00%,6.90%,13.00%,14.00%,14.20%,6.30%,5.70%,7.40%,4.00%,1.60%,(X),"7,277,315","1,239,719",71.60%,22.60%,2.10%,2.60%,0.10%,3.50%
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"674,499","343,445","331,054","44,441","42,247","38,073","47,276","59,516","88,894","76,567","96,759","46,324","36,327","46,887","34,400","16,788",37.4,"524,042","98,075","619,740","10,639","42,100","10,260","1,544","4,987"
    Percent,"674,499",50.90%,49.10%,6.60%,6.30%,5.60%,7.00%,8.80%,13.20%,11.40%,14.30%,6.90%,5.40%,7.00%,5.10%,2.50%,(X),"524,042","98,075",91.90%,1.60%,6.20%,1.50%,0.20%,0.70%
Ohio,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"11,536,182","5,630,118","5,906,064","716,052","748,547","774,070","815,714","760,950","1,419,211","1,472,448","1,741,911","788,621","672,880","853,936","541,888","229,954",38.9,"8,815,336","1,625,778","9,788,114","1,555,034","86,303","239,994","8,717","120,251"
    Percent,"11,536,182",48.80%,51.20%,6.20%,6.50%,6.70%,7.10%,6.60%,12.30%,12.80%,15.10%,6.80%,5.80%,7.40%,4.70%,2.00%,(X),"8,815,336","1,625,778",84.80%,13.50%,0.70%,2.10%,0.10%,1.00%
Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"3,761,702","1,856,245","1,905,457","263,904","259,146","259,246","262,735","267,458","506,655","465,265","525,975","236,086","205,443","282,174","165,705","61,910",36.3,"2,830,778","509,789","3,037,556","325,386","500,686","81,999","9,384","115,051"
    Percent,"3,761,702",49.30%,50.70%,7.00%,6.90%,6.90%,7.00%,7.10%,13.50%,12.40%,14.00%,6.30%,5.50%,7.50%,4.40%,1.60%,(X),"2,830,778","509,789",80.70%,8.60%,13.30%,2.20%,0.20%,3.10%
Oregon,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"3,838,957","1,902,185","1,936,772","236,032","236,299","245,021","251,362","255,357","524,977","497,859","541,112","272,266","243,779","291,316","165,341","78,236",38.5,"2,972,446","534,893","3,387,267","97,227","108,995","186,304","25,816","183,046"
    Percent,"3,838,957",49.50%,50.50%,6.10%,6.20%,6.40%,6.50%,6.70%,13.70%,13.00%,14.10%,7.10%,6.40%,7.60%,4.30%,2.00%,(X),"2,972,446","534,893",88.20%,2.50%,2.80%,4.90%,0.70%,4.80%
Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"12,709,630","6,192,105","6,517,525","726,391","760,840","784,144","907,135","876,291","1,511,925","1,613,956","1,927,885","879,238","756,320","985,149","666,838","313,518",40.2,"9,924,456","1,965,505","10,692,745","1,514,969","76,809","399,176","12,085","269,952"
    Percent,"12,709,630",48.70%,51.30%,5.70%,6.00%,6.20%,7.10%,6.90%,11.90%,12.70%,15.20%,6.90%,6.00%,7.80%,5.20%,2.50%,(X),"9,924,456","1,965,505",84.10%,11.90%,0.60%,3.10%,0.10%,2.10%
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"1,052,886","508,198","544,688","57,112","61,295","63,426","79,707","81,367","126,617","138,010","161,363","72,108","59,698","74,851","51,370","25,962",39.6,"828,863","152,183","879,768","77,420","12,724","36,668","2,073","76,048"
    Percent,"1,052,886",48.30%,51.70%,5.40%,5.80%,6.00%,7.60%,7.70%,12.00%,13.10%,15.30%,6.80%,5.70%,7.10%,4.90%,2.50%,(X),"828,863","152,183",83.60%,7.40%,1.20%,3.50%,0.20%,7.20%
South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"4,636,312","2,253,035","2,383,277","301,793","292,723","305,301","330,539","331,599","587,427","604,903","658,778","305,410","282,909","374,992","187,666","72,272",37.8,"3,554,882","634,930","3,183,859","1,345,154","39,255","73,492","4,685","80,665"
    Percent,"4,636,312",48.60%,51.40%,6.50%,6.30%,6.60%,7.10%,7.20%,12.70%,13.00%,14.20%,6.60%,6.10%,8.10%,4.00%,1.60%,(X),"3,554,882","634,930",68.70%,29.00%,0.80%,1.60%,0.10%,1.70%
South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"816,463","411,170","405,293","57,488","51,621","59,025","60,393","55,557","103,800","95,771","117,588","54,320","42,993","58,786","39,521","19,600",37.3,"614,383","117,907","716,434","13,922","84,460","10,717",408,"7,769"
    Percent,"816,463",50.40%,49.60%,7.00%,6.30%,7.20%,7.40%,6.80%,12.70%,11.70%,14.40%,6.70%,5.30%,7.20%,4.80%,2.40%,(X),"614,383","117,907",87.70%,1.70%,10.30%,1.30%,0.00%,1.00%
Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"6,356,897","3,095,030","3,261,867","406,413","407,902","428,186","437,892","434,113","814,655","859,877","918,112","409,434","380,391","492,548","267,656","99,718",38,"4,859,663","859,922","5,079,389","1,117,185","55,263","112,377","4,076","103,396"
    Percent,"6,356,897",48.70%,51.30%,6.40%,6.40%,6.70%,6.90%,6.80%,12.80%,13.50%,14.40%,6.40%,6.00%,7.70%,4.20%,1.60%,(X),"4,859,663","859,922",79.90%,17.60%,0.90%,1.80%,0.10%,1.60%
Texas,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"25,257,114","12,531,720","12,725,394","1,929,338","1,939,137","1,898,149","1,889,030","1,829,338","3,607,541","3,479,592","3,443,947","1,423,708","1,198,391","1,482,047","824,522","312,374",33.6,"18,369,567","2,618,943","19,191,255","3,159,265","279,613","1,103,096","37,998","2,069,703"
    Percent,"25,257,114",49.60%,50.40%,7.60%,7.70%,7.50%,7.50%,7.20%,14.30%,13.80%,13.60%,5.60%,4.70%,5.90%,3.30%,1.20%,(X),"18,369,567","2,618,943",76.00%,12.50%,1.10%,4.40%,0.20%,8.20%
Utah,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"2,776,469","1,397,849","1,378,620","263,603","249,502","229,648","222,952","225,940","449,176","332,449","310,748","132,984","108,667","139,597","80,484","30,719",29.2,"1,902,793","250,800","2,526,041","40,045","49,935","75,415","38,044","116,445"
    Percent,"2,776,469",50.30%,49.70%,9.50%,9.00%,8.30%,8.00%,8.10%,16.20%,12.00%,11.20%,4.80%,3.90%,5.00%,2.90%,1.10%,(X),"1,902,793","250,800",91.00%,1.40%,1.80%,2.70%,1.40%,4.20%
Vermont,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"625,960","308,172","317,788","32,268","32,676","39,868","45,157","44,949","69,728","77,686","101,395","50,456","40,546","49,563","28,416","13,252",41.5,"496,299","91,231","607,394","9,795","5,403","10,856",766,"2,654"
    Percent,"625,960",49.20%,50.80%,5.20%,5.20%,6.40%,7.20%,7.20%,11.10%,12.40%,16.20%,8.10%,6.50%,7.90%,4.50%,2.10%,(X),"496,299","91,231",97.00%,1.60%,0.90%,1.70%,0.10%,0.40%
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"8,024,617","3,941,957","4,082,660","507,432","509,030","520,776","564,057","562,021","1,084,897","1,120,016","1,212,119","507,336","456,658","552,910","306,650","120,715",37.5,"6,170,996","980,275","5,755,827","1,671,545","69,431","521,880","20,609","223,548"
