Label (Grouping),INCOME IN 1999!!Households,"INCOME IN 1999!!Households!!Less than $10,000","INCOME IN 1999!!Households!!$10,000 to $14,999","INCOME IN 1999!!Households!!$15,000 to $24,999","INCOME IN 1999!!Households!!$25,000 to $34,999","INCOME IN 1999!!Households!!$35,000 to $49,999","INCOME IN 1999!!Households!!$50,000 to $74,999","INCOME IN 1999!!Households!!$75,000 to $99,999","INCOME IN 1999!!Households!!$100,000 to $149,999","INCOME IN 1999!!Households!!$150,000 to $199,999","INCOME IN 1999!!Households!!$200,000 or more",INCOME IN 1999!!Households!!Median household income (dollars),INCOME IN 1999!!Households!!With earnings!!Mean earnings (dollars)
        Number,"1,659,308","114,658","82,584","185,997","208,982","281,889","351,663","197,339","150,572","42,707","42,917","47,203","59,313"
        Percent,100,6.9,5,11.2,12.6,17,21.2,11.9,9.1,2.6,2.6,(X),(X)
Connecticut,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,302,227","91,721","64,895","126,157","130,916","188,021","265,470","172,569","152,405","48,533","61,540","53,935","74,838"
        Percent,100,7,5,9.7,10.1,14.4,20.4,13.3,11.7,3.7,4.7,(X),(X)
Delaware,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"298,755","21,125","15,284","33,898","36,361","50,582","63,663","35,968","28,145","7,549","6,180","47,381","59,142"
        Percent,100,7.1,5.1,11.3,12.2,16.9,21.3,12,9.4,2.5,2.1,(X),(X)
District of Columbia,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"248,590","36,939","14,594","28,443","30,592","35,311","39,553","22,437","20,790","8,292","11,639","40,127","64,401"
        Percent,100,14.9,5.9,11.4,12.3,14.2,15.9,9,8.4,3.3,4.7,(X),(X)
Florida,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"6,341,121","606,995","427,050","918,455","901,454","1,103,554","1,170,569","552,379","398,860","114,432","147,373","38,819","51,993"
        Percent,100,9.6,6.7,14.5,14.2,17.4,18.5,8.7,6.3,1.8,2.3,(X),(X)
Georgia,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"3,007,678","304,816","176,059","369,279","378,689","502,961","593,203","311,651","234,093","66,084","70,843","42,433","56,625"
        Percent,100,10.1,5.9,12.3,12.6,16.7,19.7,10.4,7.8,2.2,2.4,(X),(X)
Hawaii,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"403,572","31,937","18,572","42,232","46,226","63,485","82,997","51,284","44,867","12,003","9,969","49,820","58,733"
        Percent,100,7.9,4.6,10.5,11.5,15.7,20.6,12.7,11.1,3,2.5,(X),(X)
Idaho,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"470,133","40,676","33,431","71,921","70,391","89,612","90,462","39,249","22,797","5,395","6,199","37,572","46,344"
        Percent,100,8.7,7.1,15.3,15,19.1,19.2,8.3,4.8,1.1,1.3,(X),(X)
Illinois,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"4,592,740","383,299","252,485","517,812","545,962","745,180","952,940","531,760","415,348","119,056","128,898","46,590","61,954"
        Percent,100,8.3,5.5,11.3,11.9,16.2,20.7,11.6,9,2.6,2.8,(X),(X)
Indiana,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"2,337,229","188,408","145,493","314,893","319,762","417,546","499,717","237,299","147,845","31,687","34,579","41,567","52,275"
        Percent,100,8.1,6.2,13.5,13.7,17.9,21.4,10.2,6.3,1.4,1.5,(X),(X)
Iowa,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,150,197","93,783","77,333","165,122","168,713","218,204","242,022","101,287","55,998","12,879","14,856","39,469","48,183"
        Percent,100,8.2,6.7,14.4,14.7,19,21,8.8,4.9,1.1,1.3,(X),(X)
Kansas,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,038,940","88,926","66,264","143,138","145,431","187,850","211,014","99,933","62,926","16,106","17,352","40,624","51,037"
        Percent,100,8.6,6.4,13.8,14,18.1,20.3,9.6,6.1,1.6,1.7,(X),(X)
Kentucky,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,591,739","220,692","133,977","245,034","219,944","261,684","274,530","122,008","73,228","18,757","21,885","33,672","46,278"
        Percent,100,13.9,8.4,15.4,13.8,16.4,17.2,7.7,4.6,1.2,1.4,(X),(X)
Louisiana,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,657,107","258,086","141,930","248,488","223,409","260,622","274,550","126,752","80,237","19,502","23,531","32,566","45,923"
        Percent,100,15.6,8.6,15,13.5,15.7,16.6,7.6,4.8,1.2,1.4,(X),(X)
Maine,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"518,372","53,259","39,231","76,633","73,614","94,848","100,423","43,341","24,348","5,866","6,809","37,240","46,990"
        Percent,100,10.3,7.6,14.8,14.2,18.3,19.4,8.4,4.7,1.1,1.3,(X),(X)
Maryland,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,981,795","137,199","83,328","188,104","212,135","305,987","427,180","268,558","230,285","69,102","59,917","52,868","66,315"
        Percent,100,6.9,4.2,9.5,10.7,15.4,21.6,13.6,11.6,3.5,3,(X),(X)
Massachusetts,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"2,444,588","214,700","137,187","248,208","253,125","355,195","490,998","312,741","267,300","80,640","84,494","50,502","68,437"
        Percent,100,8.8,5.6,10.2,10.4,14.5,20.1,12.8,10.9,3.3,3.5,(X),(X)
Michigan,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"3,788,780","313,905","219,133","469,100","470,419","624,326","778,755","432,681","324,966","79,291","76,204","44,667","57,926"
        Percent,100,8.3,5.8,12.4,12.4,16.5,20.6,11.4,8.6,2.1,2,(X),(X)
Minnesota,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,896,209","127,955","102,205","216,089","234,300","322,529","424,867","228,834","156,565","40,734","42,131","47,111","59,189"
        Percent,100,6.7,5.4,11.4,12.4,17,22.4,12.1,8.3,2.1,2.2,(X),(X)
Mississippi,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,047,555","169,227","92,129","164,830","147,966","171,410","168,393","70,718","40,339","9,904","12,639","31,330","43,399"
        Percent,100,16.2,8.8,15.7,14.1,16.4,16.1,6.8,3.9,0.9,1.2,(X),(X)
Missouri,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"2,197,214","221,242","154,370","319,986","314,611","385,315","415,772","193,561","125,566","31,716","35,075","37,934","49,671"
        Percent,100,10.1,7,14.6,14.3,17.5,18.9,8.8,5.7,1.4,1.6,(X),(X)
Montana,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"359,070","40,535","31,864","61,573","55,217","65,393","61,505","23,007","13,071","3,182","3,723","33,024","40,290"
        Percent,100,11.3,8.9,17.1,15.4,18.2,17.1,6.4,3.6,0.9,1,(X),(X)
Nebraska,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"666,995","55,340","43,915","98,663","97,932","122,654","136,141","58,361","36,565","8,551","8,873","39,250","48,160"
        Percent,100,8.3,6.6,14.8,14.7,18.4,20.4,8.7,5.5,1.3,1.3,(X),(X)
Nevada,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"751,977","53,981","39,245","92,710","98,362","136,104","163,415","83,304","55,431","13,545","15,880","44,581","55,463"
        Percent,100,7.2,5.2,12.3,13.1,18.1,21.7,11.1,7.4,1.8,2.1,(X),(X)
New Hampshire,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"474,750","28,808","22,635","51,226","55,301","81,875","109,447","60,009","43,093","12,118","10,238","49,467","60,079"
        Percent,100,6.1,4.8,10.8,11.6,17.2,23.1,12.6,9.1,2.6,2.2,(X),(X)
New Jersey,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"3,065,774","213,939","143,783","288,606","305,449","437,373","608,244","413,928","391,123","130,492","132,837","55,146","74,719"
        Percent,100,7,4.7,9.4,10,14.3,19.8,13.5,12.8,4.3,4.3,(X),(X)
New Mexico,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"678,032","84,527","56,773","107,287","97,447","115,315","111,913","53,079","34,045","8,750","8,896","34,133","43,895"
        Percent,100,12.5,8.4,15.8,14.4,17,16.5,7.8,5,1.3,1.3,(X),(X)
New York,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"7,060,595","809,507","453,320","822,611","807,043","1,047,001","1,297,712","746,384","639,525","202,640","234,852","43,393","64,102"
        Percent,100,11.5,6.4,11.7,11.4,14.8,18.4,10.6,9.1,2.9,3.3,(X),(X)
North Carolina,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"3,133,282","328,770","201,123","431,701","435,975","553,041","608,777","279,020","188,621","50,650","55,604","39,184","50,814"
        Percent,100,10.5,6.4,13.8,13.9,17.7,19.4,8.9,6,1.6,1.8,(X),(X)
North Dakota,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"257,234","28,417","20,575","41,324","39,618","47,810","47,549","17,389","9,698","2,229","2,625","34,604","42,510"
        Percent,100,11,8,16.1,15.4,18.6,18.5,6.8,3.8,0.9,1,(X),(X)
Ohio,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"4,446,621","406,698","285,372","594,143","602,996","771,129","905,323","444,599","289,049","71,062","76,250","40,956","52,998"
        Percent,100,9.1,6.4,13.4,13.6,17.3,20.4,10,6.5,1.6,1.7,(X),(X)
Oklahoma,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,343,506","163,933","113,588","219,392","201,133","230,286","228,452","97,394","58,018","14,600","16,710","33,400","44,070"
        Percent,100,12.2,8.5,16.3,15,17.1,17,7.2,4.3,1.1,1.2,(X),(X)
Oregon,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,335,109","115,129","86,695","179,053","185,595","236,282","269,492","129,488","87,218","22,650","23,507","40,916","51,450"
        Percent,100,8.6,6.5,13.4,13.9,17.7,20.2,9.7,6.5,1.7,1.8,(X),(X)
Pennsylvania,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"4,779,186","465,860","333,381","657,266","633,953","809,165","929,863","457,480","317,171","84,173","90,874","40,106","54,209"
        Percent,100,9.7,7,13.8,13.3,16.9,19.5,9.6,6.6,1.8,1.9,(X),(X)
Rhode Island,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"408,412","43,800","28,604","50,524","48,428","64,068","82,350","43,623","31,162","7,914","7,939","42,090","55,924"
        Percent,100,10.7,7,12.4,11.9,15.7,20.2,10.7,7.6,1.9,1.9,(X),(X)
South Carolina,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"1,534,334","181,777","106,693","220,065","213,504","269,559","288,757","129,518","81,624","19,873","22,964","37,082","47,936"
        Percent,100,11.8,7,14.3,13.9,17.6,18.8,8.4,5.3,1.3,1.5,(X),(X)
South Dakota,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"290,336","30,881","22,421","46,823","43,884","55,160","53,817","20,150","11,090","2,872","3,238","35,282","43,382"
        Percent,100,10.6,7.7,16.1,15.1,19,18.5,6.9,3.8,1,1.1,(X),(X)
Tennessee,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"2,234,229","267,405","161,773","326,134","319,921","388,095","405,364","179,559","116,779","31,095","38,104","36,360","49,056"
        Percent,100,12,7.2,14.6,14.3,17.4,18.1,8,5.2,1.4,1.7,(X),(X)
Texas,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"7,397,294","767,505","491,154","1,004,123","996,141","1,219,358","1,359,437","705,684","536,018","153,492","164,382","39,927","53,870"
        Percent,100,10.4,6.6,13.6,13.5,16.5,18.4,9.5,7.2,2.1,2.2,(X),(X)
Utah,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"701,933","41,959","33,952","83,121","93,119","133,421","158,405","79,659","52,641","12,924","12,732","45,726","54,973"
        Percent,100,6,4.8,11.8,13.3,19,22.6,11.3,7.5,1.8,1.8,(X),(X)
Vermont,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"240,744","19,552","15,240","33,768","33,422","44,871","49,824","23,051","13,775","3,679","3,562","40,856","48,871"
        Percent,100,8.1,6.3,14,13.9,18.6,20.7,9.6,5.7,1.5,1.5,(X),(X)
Virginia,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"2,700,335","214,076","141,948","308,532","326,821","444,682","549,412","307,107","254,948","80,046","72,763","46,677","59,822"
        Percent,100,7.9,5.3,11.4,12.1,16.5,20.3,11.4,9.4,3,2.7,(X),(X)
Washington,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"2,272,261","171,863","124,848","265,131","284,630","389,434","486,392","264,498","188,513","47,615","49,337","45,776","57,172"
        Percent,100,7.6,5.5,11.7,12.5,17.1,21.4,11.6,8.3,2.1,2.2,(X),(X)
West Virginia,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"737,360","113,931","73,514","128,448","107,192","121,089","111,446","44,643","24,185","5,632","7,280","29,696","41,287"
        Percent,100,15.5,10,17.4,14.5,16.4,15.1,6.1,3.3,0.8,1,(X),(X)
Wisconsin,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"2,086,304","148,964","121,366","264,897","276,033","377,749","474,299","226,374","133,719","30,598","32,305","43,791","53,084"
        Percent,100,7.1,5.8,12.7,13.2,18.1,22.7,10.9,6.4,1.5,1.5,(X),(X)
Wyoming,,,,,,,,,,,,,
    Total population,,,,,,,,,,,,,
        Number,"193,959","17,766","14,586","28,984","27,727","35,417","39,126","17,392","8,636","1,880","2,445","37,892","45,363"
        Percent,100,9.2,7.5,14.9,14.3,18.3,20.2,9,4.5,1,1.3,(X),(X)
