Label (Grouping),Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 or more",Median income (dollars),Mean income (dollars)
        Estimate,"12,406,475",6.00%,5.40%,10.20%,9.30%,13.00%,17.50%,12.30%,14.30%,6.10%,6.00%,"57,708","79,465"
    Families,,,,,,,,,,,,,
        Estimate,"8,507,856",4.70%,3.40%,8.80%,8.70%,12.90%,17.60%,13.20%,16.30%,7.20%,7.20%,"65,481","88,178"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"6,082,566",2.00%,2.00%,6.60%,7.20%,11.60%,17.50%,14.70%,19.60%,9.30%,9.50%,"80,004","102,961"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"3,898,619",10.90%,10.40%,14.20%,10.90%,13.50%,16.10%,9.50%,8.70%,2.90%,2.90%,"38,460","55,429"
Colorado,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,960,585",6.80%,5.10%,10.30%,10.10%,14.00%,18.40%,12.70%,13.60%,4.80%,4.30%,"54,046","72,423"
    Families,,,,,,,,,,,,,
        Estimate,"1,258,885",4.30%,2.70%,7.40%,8.30%,13.10%,19.20%,15.10%,17.40%,6.60%,5.90%,"67,800","86,004"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"959,624",1.60%,1.40%,4.80%,6.70%,11.90%,19.80%,17.30%,21.10%,8.00%,7.40%,"79,735","98,324"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"701,700",12.80%,9.70%,16.00%,13.40%,15.30%,16.80%,7.70%,6.00%,1.30%,1.10%,"33,148","45,445"
Connecticut,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,358,809",5.80%,4.40%,9.00%,8.20%,12.40%,17.00%,13.30%,15.60%,6.70%,7.60%,"64,032","90,074"
    Families,,,,,,,,,,,,,
        Estimate,"890,770",3.40%,2.30%,5.70%,6.50%,10.90%,17.00%,15.40%,19.80%,8.70%,10.30%,"81,246","108,218"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"656,629",1.00%,0.90%,3.10%,4.70%,9.00%,16.10%,17.20%,23.50%,10.90%,13.50%,"96,805","126,921"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"468,039",11.30%,8.70%,15.80%,11.70%,15.40%,16.50%,8.80%,6.90%,2.70%,2.20%,"36,924","52,872"
Delaware,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"328,765",6.00%,4.70%,10.10%,9.60%,13.90%,19.60%,13.20%,14.30%,4.90%,3.60%,"55,847","72,550"
    Families,,,,,,,,,,,,,
        Estimate,"221,233",3.10%,2.50%,7.50%,8.40%,13.90%,20.10%,15.90%,17.70%,6.20%,4.70%,"68,746","84,491"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"161,575",0.90%,0.90%,4.50%,6.30%,11.80%,20.80%,18.60%,21.80%,8.30%,6.20%,"81,093","98,186"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"107,532",12.50%,9.90%,16.10%,12.50%,14.80%,18.00%,6.90%,6.30%,1.80%,1.10%,"33,779","45,328"
District of Columbia,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"252,388",10.40%,5.50%,8.10%,7.70%,10.50%,15.70%,11.50%,13.10%,7.10%,10.30%,"60,903","92,959"
    Families,,,,,,,,,,,,,
        Estimate,"101,519",7.80%,4.10%,7.30%,7.60%,8.80%,13.60%,9.90%,14.40%,9.70%,16.90%,"77,514","121,027"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"57,275",1.70%,0.50%,3.50%,4.40%,5.60%,11.90%,9.80%,20.20%,14.50%,28.00%,"133,338","173,963"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"150,869",12.80%,6.70%,8.50%,8.10%,11.50%,17.10%,12.20%,12.40%,5.20%,5.60%,"51,832","72,243"
Florida,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"7,035,068",8.30%,6.30%,12.60%,12.20%,15.70%,18.30%,10.70%,9.60%,3.10%,3.10%,"44,409","61,877"
    Families,,,,,,,,,,,,,
        Estimate,"4,556,930",5.60%,3.90%,10.10%,11.30%,15.80%,20.20%,12.90%,12.30%,4.00%,4.10%,"53,093","72,079"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"3,307,884",2.50%,2.30%,7.20%,9.70%,15.10%,21.90%,15.30%,15.40%,5.20%,5.40%,"63,775","84,049"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"2,478,138",14.90%,11.20%,18.10%,14.20%,15.50%,13.80%,5.80%,4.20%,1.20%,1.20%,"28,922","40,711"
Georgia,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"3,482,420",9.20%,6.10%,12.20%,11.40%,14.20%,18.20%,11.10%,10.70%,3.70%,3.30%,"46,430","62,967"
    Families,,,,,,,,,,,,,
        Estimate,"2,385,969",6.30%,4.00%,10.30%,10.60%,14.10%,19.40%,12.80%,13.30%,4.90%,4.20%,"55,209","72,446"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,688,896",2.20%,2.00%,6.90%,8.90%,13.30%,21.30%,15.70%,17.50%,6.50%,5.70%,"68,770","86,678"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"1,096,451",16.70%,11.00%,17.10%,13.40%,14.20%,14.50%,6.30%,4.60%,1.10%,1.10%,"28,496","39,957"
Hawaii,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"445,812",6.20%,3.80%,8.50%,8.10%,12.80%,18.40%,14.40%,16.90%,5.70%,5.20%,"63,030","79,560"
    Families,,,,,,,,,,,,,
        Estimate,"303,075",3.50%,2.50%,5.70%,6.70%,12.10%,18.60%,17.30%,20.40%,7.10%,6.00%,"76,134","90,072"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"224,402",1.50%,1.60%,4.60%,5.30%,10.50%,18.30%,18.90%,23.90%,8.40%,7.00%,"84,510","98,764"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"142,737",12.60%,7.30%,14.80%,11.80%,15.40%,17.70%,8.40%,7.80%,1.90%,2.20%,"38,060","51,868"
Idaho,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"576,709",7.80%,6.70%,12.20%,13.20%,16.00%,20.60%,11.20%,8.10%,2.30%,1.80%,"43,490","56,086"
    Families,,,,,,,,,,,,,
        Estimate,"401,806",4.90%,4.00%,9.00%,12.10%,16.60%,23.70%,14.00%,10.30%,3.00%,2.30%,"52,342","64,759"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"322,129",2.20%,2.60%,7.40%,10.80%,16.40%,26.10%,16.10%,12.10%,3.50%,2.90%,"59,169","71,692"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"174,903",16.00%,14.00%,20.40%,16.10%,13.90%,11.90%,3.90%,2.70%,0.60%,0.50%,"24,800","34,112"
Illinois,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"4,752,857",7.10%,4.90%,11.00%,10.20%,13.80%,18.40%,12.60%,12.90%,4.60%,4.40%,"52,972","72,022"
    Families,,,,,,,,,,,,,
        Estimate,"3,133,813",4.40%,2.90%,8.10%,8.90%,13.20%,19.40%,14.90%,16.30%,6.10%,5.80%,"65,417","84,494"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"2,301,009",1.30%,1.30%,5.00%,7.30%,12.00%,20.30%,17.30%,20.20%,7.80%,7.50%,"78,652","98,833"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"1,619,044",13.60%,9.50%,17.30%,13.00%,14.90%,15.70%,7.40%,5.60%,1.50%,1.60%,"31,804","45,387"
Indiana,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,470,905",7.60%,5.90%,13.00%,12.50%,15.90%,19.20%,11.60%,9.70%,2.50%,2.10%,"44,613","58,451"
    Families,,,,,,,,,,,,,
        Estimate,"1,656,386",5.00%,3.30%,9.20%,11.20%,16.10%,21.80%,14.50%,12.90%,3.20%,2.80%,"55,368","68,429"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,236,518",1.80%,1.50%,6.10%,9.00%,15.90%,24.20%,17.50%,16.30%,4.20%,3.50%,"65,512","79,020"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"814,519",14.50%,11.90%,21.40%,15.70%,15.20%,12.70%,4.90%,2.40%,0.80%,0.60%,"26,185","35,789"
Iowa,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,223,439",6.40%,5.80%,12.10%,11.70%,15.90%,20.40%,12.50%,10.30%,2.80%,2.10%,"47,961","60,901"
    Families,,,,,,,,,,,,,
        Estimate,"793,768",3.50%,2.80%,7.70%,9.60%,15.50%,23.80%,16.20%,14.30%,3.80%,2.80%,"60,917","73,114"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"633,602",1.30%,1.60%,5.40%,7.90%,14.20%,25.70%,18.90%,17.10%,4.50%,3.50%,"69,012","81,788"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"429,671",12.90%,11.60%,20.40%,16.20%,16.70%,13.10%,5.00%,2.50%,0.80%,0.60%,"27,786","36,333"
Kansas,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,101,658",7.00%,5.80%,11.80%,11.50%,15.50%,19.90%,12.00%,10.80%,3.10%,2.70%,"48,257","63,094"
    Families,,,,,,,,,,,,,
        Estimate,"721,592",4.20%,2.90%,8.20%,9.40%,14.70%,22.50%,15.40%,14.90%,4.30%,3.60%,"61,013","75,190"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"559,199",1.10%,1.20%,5.40%,8.00%,14.10%,24.50%,17.90%,18.10%,5.40%,4.40%,"70,558","85,429"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"380,066",13.70%,12.00%,19.30%,15.40%,16.80%,13.70%,4.70%,2.80%,0.80%,0.80%,"27,982","37,786"
Kentucky,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,684,348",10.30%,8.10%,14.00%,12.20%,14.90%,17.50%,10.40%,8.40%,2.30%,2.00%,"40,062","54,320"
    Families,,,,,,,,,,,,,
        Estimate,"1,126,685",6.90%,4.80%,11.00%,11.50%,15.30%,20.00%,13.40%,11.40%,3.10%,2.60%,"50,392","64,281"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"833,872",2.50%,3.00%,8.20%,10.10%,15.60%,22.60%,16.30%,14.20%,4.00%,3.40%,"60,830","74,976"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"557,663",19.10%,15.20%,20.20%,13.70%,13.40%,11.30%,3.90%,2.10%,0.50%,0.70%,"22,271","32,266"
Louisiana,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,689,822",9.80%,7.50%,13.60%,10.90%,14.40%,17.00%,10.90%,10.10%,3.00%,2.70%,"42,505","59,116"
    Families,,,,,,,,,,,,,
        Estimate,"1,129,117",6.30%,5.00%,11.40%,10.60%,14.10%,18.70%,13.30%,13.00%,4.10%,3.50%,"52,456","69,092"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"753,423",1.60%,2.00%,7.00%,9.00%,13.60%,21.50%,16.80%,17.70%,5.80%,5.00%,"69,074","85,451"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"560,705",18.50%,13.30%,18.30%,12.20%,14.40%,12.60%,5.50%,3.50%,0.70%,1.00%,"24,903","36,435"
Maine,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"545,417",7.10%,7.00%,12.50%,11.60%,15.40%,20.00%,11.90%,9.80%,2.80%,2.00%,"45,815","59,300"
    Families,,,,,,,,,,,,,
        Estimate,"345,328",3.90%,3.40%,9.40%,10.20%,15.50%,23.30%,15.10%,12.60%,3.80%,2.80%,"58,197","70,473"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"266,670",1.30%,1.70%,6.50%,8.60%,15.20%,25.80%,17.40%,15.60%,4.50%,3.50%,"65,887","79,646"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"200,089",14.00%,14.00%,19.10%,14.70%,14.00%,13.20%,5.80%,3.80%,0.90%,0.60%,"26,543","37,282"
Maryland,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,127,439",5.50%,3.50%,7.30%,7.90%,11.50%,18.20%,13.50%,17.50%,7.90%,7.40%,"68,854","89,563"
    Families,,,,,,,,,,,,,
        Estimate,"1,431,958",3.50%,1.70%,5.20%,6.70%,10.10%,17.40%,15.00%,20.60%,10.10%,9.70%,"83,137","104,164"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,022,613",0.90%,0.70%,3.10%,4.40%,8.00%,15.90%,16.20%,24.90%,12.90%,13.10%,"101,063","122,759"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"695,481",10.80%,7.20%,12.50%,11.00%,15.10%,19.20%,9.90%,9.70%,2.60%,2.00%,"42,568","55,407"
Massachusetts,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,520,419",7.40%,5.30%,8.90%,8.00%,11.40%,17.00%,12.80%,16.00%,6.60%,6.60%,"62,072","84,005"
    Families,,,,,,,,,,,,,
        Estimate,"1,590,257",4.10%,2.80%,6.40%,6.70%,10.40%,17.30%,14.50%,19.80%,8.80%,9.00%,"78,653","100,712"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,166,204",1.10%,1.10%,3.70%,5.00%,8.80%,16.80%,16.20%,24.10%,11.20%,11.80%,"95,233","118,490"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"930,162",13.90%,10.00%,13.70%,10.50%,13.40%,16.50%,9.30%,8.30%,2.20%,2.10%,"36,803","52,171"
Michigan,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"3,806,621",8.40%,6.20%,12.90%,11.50%,15.30%,18.90%,11.20%,10.10%,3.10%,2.40%,"45,413","59,772"
    Families,,,,,,,,,,,,,
        Estimate,"2,508,780",5.50%,3.80%,9.10%,10.10%,15.40%,21.10%,14.00%,13.40%,4.30%,3.20%,"56,101","70,883"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,845,094",1.90%,1.70%,6.00%,8.30%,15.30%,23.20%,17.00%,16.90%,5.50%,4.20%,"67,183","82,621"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"1,297,841",15.40%,11.30%,20.50%,14.50%,15.00%,13.70%,5.20%,3.00%,0.70%,0.70%,"26,592","36,335"
Minnesota,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,091,548",5.90%,5.10%,10.10%,10.10%,13.90%,19.70%,13.80%,13.30%,4.50%,3.60%,"55,459","71,345"
    Families,,,,,,,,,,,,,
        Estimate,"1,353,758",3.20%,2.60%,6.80%,8.00%,12.70%,21.20%,16.90%,17.50%,6.00%,4.90%,"69,625","84,946"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,069,000",1.10%,1.30%,4.10%,6.30%,11.60%,21.90%,19.50%,21.00%,7.30%,6.00%,"79,549","95,794"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"737,790",12.00%,10.40%,16.90%,13.90%,15.80%,16.50%,7.30%,4.90%,1.30%,1.10%,"32,021","43,785"
Mississippi,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,079,999",11.40%,8.80%,15.30%,12.10%,14.90%,16.70%,9.90%,7.40%,1.90%,1.70%,"36,851","50,591"
    Families,,,,,,,,,,,,,
        Estimate,"746,115",7.70%,6.10%,13.30%,11.60%,15.40%,19.10%,12.60%,9.60%,2.50%,2.10%,"45,484","58,584"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"501,571",2.10%,3.10%,9.10%,10.20%,16.40%,22.80%,16.70%,13.20%,3.50%,2.90%,"59,010","71,402"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"333,884",21.70%,15.90%,20.30%,12.60%,13.50%,9.70%,3.00%,2.10%,0.50%,0.80%,"20,577","30,624"
Missouri,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,350,628",8.50%,6.50%,12.80%,11.80%,15.50%,18.60%,11.10%,10.00%,2.70%,2.50%,"44,301","59,525"
    Families,,,,,,,,,,,,,
        Estimate,"1,524,078",4.90%,3.60%,9.40%,10.50%,15.40%,21.70%,14.00%,13.40%,3.70%,3.40%,"56,214","71,266"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,146,501",1.80%,1.90%,6.70%,8.50%,15.10%,23.50%,16.60%,16.70%,4.80%,4.30%,"66,076","81,850"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"826,550",16.30%,12.40%,19.60%,14.50%,15.20%,12.30%,5.00%,3.20%,0.70%,0.80%,"26,022","35,932"
Montana,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"402,747",6.90%,7.00%,14.00%,13.00%,16.00%,18.50%,11.70%,8.90%,2.30%,1.80%,"42,666","56,266"
    Families,,,,,,,,,,,,,
        Estimate,"255,199",4.60%,3.10%,11.00%,10.90%,15.80%,21.00%,15.70%,12.00%,3.20%,2.50%,"54,507","67,131"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"203,500",2.40%,2.20%,7.70%,9.30%,15.90%,22.70%,18.40%,14.40%,4.00%,3.10%,"62,301","74,991"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"147,548",12.10%,13.90%,20.00%,16.70%,15.70%,13.50%,4.30%,2.60%,0.70%,0.50%,"27,109","35,546"
Nebraska,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"719,304",6.20%,6.50%,11.70%,11.90%,15.00%,20.20%,12.80%,10.60%,2.80%,2.30%,"48,408","61,630"
    Families,,,,,,,,,,,,,
        Estimate,"468,407",3.50%,3.10%,7.90%,9.60%,14.70%,23.10%,16.20%,14.70%,3.90%,3.30%,"60,812","74,215"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"368,023",1.10%,1.60%,5.40%,7.70%,14.00%,25.00%,18.70%,17.90%,4.80%,4.00%,"69,750","83,591"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"250,897",12.80%,13.20%,19.80%,16.60%,14.80%,13.90%,5.60%,2.20%,0.70%,0.50%,"27,364","35,614"
Nevada,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"989,811",7.00%,4.70%,11.20%,11.30%,14.70%,19.80%,12.80%,11.90%,3.60%,3.00%,"51,001","66,630"
    Families,,,,,,,,,,,,,
        Estimate,"639,686",5.00%,3.20%,8.70%,10.70%,14.10%,20.90%,15.00%,14.60%,4.20%,3.70%,"60,192","74,278"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"452,361",2.00%,1.80%,6.30%,8.60%,13.60%,21.90%,17.40%,18.50%,5.30%,4.50%,"70,123","84,906"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"350,125",12.20%,7.90%,17.00%,13.00%,15.80%,16.60%,7.80%,6.00%,1.90%,1.70%,"34,903","48,829"
New Hampshire,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"515,431",4.70%,4.00%,8.80%,9.20%,14.20%,19.30%,14.30%,15.50%,5.60%,4.50%,"61,042","77,323"
    Families,,,,,,,,,,,,,
        Estimate,"344,057",2.80%,1.80%,5.50%,7.40%,12.90%,19.90%,17.30%,19.50%,7.30%,5.70%,"74,634","89,864"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"274,195",0.90%,0.80%,4.00%,6.30%,11.40%,19.60%,19.00%,22.30%,8.80%,6.90%,"82,848","99,502"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"171,374",10.10%,9.20%,15.80%,12.70%,17.00%,17.90%,7.90%,6.10%,1.70%,1.60%,"36,640","48,130"
New Jersey,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"3,172,421",5.50%,4.10%,8.50%,8.10%,11.10%,17.10%,13.10%,16.60%,7.80%,8.10%,"67,681","90,882"
    Families,,,,,,,,,,,,,
        Estimate,"2,185,732",3.60%,2.40%,6.00%,6.50%,10.00%,16.50%,14.30%,20.20%,10.00%,10.60%,"82,427","106,125"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,614,230",1.20%,1.10%,3.60%,4.90%,8.40%,15.70%,15.30%,23.90%,12.50%,13.60%,"100,017","123,632"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"986,689",11.00%,8.40%,15.20%,11.90%,13.80%,17.70%,9.80%,7.30%,2.50%,2.50%,"38,506","53,384"
New Mexico,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"765,183",9.70%,6.60%,13.70%,12.20%,14.80%,17.30%,10.60%,9.80%,3.10%,2.30%,"42,090","57,655"
    Families,,,,,,,,,,,,,
        Estimate,"501,092",6.90%,4.20%,12.60%,10.70%,14.40%,18.90%,12.50%,12.70%,3.90%,3.10%,"51,020","66,508"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"349,344",2.60%,2.80%,9.60%,9.20%,14.10%,20.90%,15.20%,16.00%,5.30%,4.30%,"62,543","78,658"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"264,091",17.10%,12.10%,17.00%,14.90%,14.80%,12.70%,5.90%,3.80%,1.10%,0.70%,"26,955","37,773"
New York,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"7,196,427",8.20%,5.40%,10.50%,9.40%,12.80%,17.10%,11.80%,13.40%,5.50%,5.90%,"54,148","78,726"
    Families,,,,,,,,,,,,,
        Estimate,"4,632,676",5.30%,3.50%,8.20%,8.60%,12.50%,17.70%,13.30%,16.50%,7.00%,7.40%,"65,897","91,447"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"3,210,895",1.80%,1.90%,5.60%,6.70%,11.20%,18.20%,15.10%,20.30%,9.10%,10.10%,"81,771","109,727"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"2,563,751",14.70%,9.20%,15.50%,11.30%,13.40%,15.40%,8.20%,7.10%,2.40%,2.80%,"34,170","52,302"
North Carolina,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"3,670,859",9.00%,6.90%,12.60%,12.10%,15.60%,18.40%,10.80%,9.00%,2.90%,2.70%,"43,326","59,053"
    Families,,,,,,,,,,,,,
        Estimate,"2,441,916",6.10%,4.40%,10.30%,11.20%,15.20%,20.40%,13.40%,11.60%,3.90%,3.60%,"52,920","69,114"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,770,863",2.00%,2.20%,7.10%,9.50%,14.50%,23.20%,16.40%,15.10%,5.20%,4.80%,"65,425","82,028"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"1,228,943",16.00%,12.50%,17.90%,14.10%,16.20%,13.20%,5.00%,3.40%,0.80%,0.80%,"27,104","37,051"
North Dakota,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"280,412",7.70%,6.10%,11.40%,11.30%,14.60%,19.80%,13.40%,11.00%,2.50%,2.20%,"48,670","61,289"
    Families,,,,,,,,,,,,,
        Estimate,"171,945",3.90%,2.60%,7.30%,8.40%,13.50%,23.50%,18.20%,15.80%,3.70%,3.10%,"65,207","75,754"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"140,277",1.40%,1.80%,4.10%,7.10%,12.00%,25.50%,21.30%,18.70%,4.50%,3.60%,"72,612","84,528"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"108,467",15.30%,11.80%,18.30%,15.70%,16.50%,13.00%,5.30%,2.90%,0.60%,0.60%,"28,150","36,442"
Ohio,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"4,525,066",8.50%,6.20%,12.70%,11.70%,15.30%,18.80%,11.50%,10.00%,2.90%,2.40%,"45,090","59,654"
    Families,,,,,,,,,,,,,
        Estimate,"2,960,107",5.80%,3.50%,8.90%,10.30%,15.10%,21.30%,14.50%,13.20%,4.00%,3.30%,"56,518","70,653"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"2,169,003",1.80%,1.60%,5.70%,8.50%,14.70%,23.40%,17.80%,17.00%,5.20%,4.30%,"68,256","83,113"
    Nonfamily households,,,,,,,,,,,,,
